SVM-SMOTE	10	1	1.50	1.87	 0.3074	0.3198	0.5425	0.5399
SVM-SMOTE	100	1	1.53	1.79	 0.2219	0.2861	0.4621	0.5023
SVM-SMOTE	200	1	1.50	2.46	 0.2243	nan	0.4685	nan
SVM-SMOTE	10	4	6.25	13.72	 0.7569	0.7159	0.8565	0.8334
SVM-SMOTE	100	4	9.72	17.42	 0.7067	0.6560	0.8198	0.7857
SVM-SMOTE	200	4	6.74	19.17	 0.6856	0.6685	0.8061	0.7914
SVM-SMOTE	10	8	28.98	61.35	 0.9774	0.9584	0.9873	0.9748
SVM-SMOTE	100	8	44.36	65.70	 0.9668	0.9085	0.9797	0.9384
SVM-SMOTE	200	8	41.78	75.42	 0.9420	0.8673	0.9619	0.9133

ADASYN	10	1	1.50	1.87	 0.2893	0.2601	0.5310	0.5151
ADASYN	100	1	1.53	1.79	 0.2298	0.2385	0.4676	0.4777
ADASYN	200	1	1.50	2.46	 0.2212	0.2277	0.4683	0.4765
ADASYN	10	4	6.25	13.72	 0.7659	0.7591	0.8623	0.8591
ADASYN	100	4	9.72	17.42	 0.6896	0.6930	0.8077	0.8073
ADASYN	200	4	6.74	19.17	 0.7236	0.6775	0.8312	0.7934
ADASYN	10	8	28.98	61.35	 0.9845	nan	0.9909	nan
ADASYN	100	8	44.36	65.70	 0.9605	0.7727	0.9753	0.8487
ADASYN	200	8	41.78	75.42	 0.9400	nan	0.9621	nan

KMeansSMOTE	10	1	1.50	1.87	 0.2781	nan	0.5237	nan
KMeansSMOTE	100	1	1.53	1.79	 0.2321	nan	0.4756	nan
KMeansSMOTE	200	1	1.50	2.46	 0.2019	nan	0.4561	nan
KMeansSMOTE	10	4	6.25	13.72	 0.7533	0.7470	0.8539	0.8473
KMeansSMOTE	100	4	9.72	17.42	 0.7047	nan	0.8171	nan
KMeansSMOTE	200	4	6.74	19.17	 0.6884	nan	0.8050	nan
KMeansSMOTE	10	8	28.98	61.35	 0.9673	0.9661	0.9812	0.9814
KMeansSMOTE	100	8	44.36	65.70	 0.9669	0.9110	0.9806	0.9402
KMeansSMOTE	200	8	41.78	75.42	 0.9511	0.8710	0.9700	0.9158

BorderlineSMOTE	10	1	1.50	1.87	 0.3023	0.2980	0.5415	0.5349
BorderlineSMOTE	100	1	1.53	1.79	 0.2343	0.2379	0.4697	0.4696
BorderlineSMOTE	200	1	1.50	2.46	 0.1947	0.2012	0.4539	0.4495
BorderlineSMOTE	10	4	6.25	13.72	 0.7524	0.7144	0.8531	0.8293
BorderlineSMOTE	100	4	9.72	17.42	 0.7259	0.6495	0.8336	0.7751
BorderlineSMOTE	200	4	6.74	19.17	 0.6990	0.6477	0.8144	0.7747
BorderlineSMOTE	10	8	28.98	61.35	 0.9693	0.9235	0.9828	0.9491
BorderlineSMOTE	100	8	44.36	65.70	 0.9657	0.6804	0.9791	0.7810
BorderlineSMOTE	200	8	41.78	75.42	 0.9531	0.7935	0.9714	0.8635

RandomOverSampler	10	1	1.50	1.87	 0.2935	0.2930	0.5299	0.5389
RandomOverSampler	100	1	1.53	1.79	 0.2572	0.2408	0.4914	0.4807
RandomOverSampler	200	1	1.50	2.46	 0.2066	0.2077	0.4524	0.4483
RandomOverSampler	10	4	6.25	13.72	 0.7456	0.7690	0.8490	0.8646
RandomOverSampler	100	4	9.72	17.42	 0.7135	0.6802	0.8249	0.8007
RandomOverSampler	200	4	6.74	19.17	 0.6993	0.6527	0.8136	0.7828
RandomOverSampler	10	8	28.98	61.35	 0.9796	0.9632	0.9890	0.9800
RandomOverSampler	100	8	44.36	65.70	 0.9669	0.9636	0.9795	0.9778
RandomOverSampler	200	8	41.78	75.42	 0.9480	0.9000	0.9673	0.9348

SMOTE	10	1	1.50	1.87	 0.2892	0.3028	0.5313	0.5412
SMOTE	100	1	1.53	1.79	 0.2295	0.2383	0.4719	0.4748
SMOTE	200	1	1.50	2.46	 0.1974	0.2411	0.4531	0.4773
SMOTE	10	4	6.25	13.72	 0.7451	0.7465	0.8498	0.8503
SMOTE	100	4	9.72	17.42	 0.7253	0.6964	0.8320	0.8115
SMOTE	200	4	6.74	19.17	 0.7020	0.6730	0.8163	0.7958
SMOTE	10	8	28.98	61.35	 0.9712	0.9742	0.9839	0.9851
SMOTE	100	8	44.36	65.70	 0.9678	0.9593	0.9803	0.9738
SMOTE	200	8	41.78	75.42	 0.9529	0.9436	0.9715	0.9652

SMOTEENN	10	1	1.50	1.87	 0.2833	0.2908	0.5311	0.5242
SMOTEENN	100	1	1.53	1.79	 0.2403	0.2130	0.4798	0.4629
SMOTEENN	200	1	1.50	2.46	 0.2588	0.2215	0.4935	0.4735
SMOTEENN	10	4	6.25	13.72	 0.7616	0.7488	0.8604	0.8508
SMOTEENN	100	4	9.72	17.42	 0.7157	0.6859	0.8261	0.8057
SMOTEENN	200	4	6.74	19.17	 0.6687	0.7173	0.7929	0.8271
SMOTEENN	10	8	28.98	61.35	 0.9733	0.9621	0.9853	0.9792
SMOTEENN	100	8	44.36	65.70	 0.9689	0.9600	0.9809	0.9772
SMOTEENN	200	8	41.78	75.42	 0.9426	0.9421	0.9644	0.9632

SMOTETomek	10	1	1.50	1.87	 0.2982	0.2867	0.5378	0.5349
SMOTETomek	100	1	1.53	1.79	 0.2157	0.2636	0.4621	0.4971
SMOTETomek	200	1	1.50	2.46	 0.2053	0.2106	0.4593	0.4620
SMOTETomek	10	4	6.25	13.72	 0.7637	0.7544	0.8605	0.8554
SMOTETomek	100	4	9.72	17.42	 0.7132	0.7063	0.8244	0.8183
SMOTETomek	200	4	6.74	19.17	 0.7040	0.6899	0.8171	0.8057
SMOTETomek	10	8	28.98	61.35	 0.9682	0.9804	0.9825	0.9892
SMOTETomek	100	8	44.36	65.70	 0.9691	0.9584	0.9815	0.9745
SMOTETomek	200	8	41.78	75.42	 0.9384	0.9399	0.9624	0.9623

